date,Team_1,Team_2,winner,Margin,Ground
2008-04-19,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,33 runs,Chandigarh
2008-04-23,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,6 runs,Chennai
2008-04-26,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,9 wickets,Chennai
2008-04-28,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,13 runs,Bangalore
2008-05-08,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,4 wickets,Delhi
2008-05-10,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,18 runs,Chennai
2008-05-18,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,3 runs,Kolkata
2008-05-27,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,7 wickets,Hyderabad
2008-05-31,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,9 wickets,Mumbai
2009-04-20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,92 runs,Port Elizabeth
2009-04-30,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,38 runs,Centurion
2009-05-02,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,18 runs,Johannesburg
2009-05-04,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,78 runs,East London
2009-05-07,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,12 runs,Centurion
2009-05-09,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,7 wickets,Kimberley
2009-05-16,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,7 wickets,Port Elizabeth
2009-05-20,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,24 runs,Durban
2010-03-16,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,55 runs,Kolkata
2010-03-19,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,5 wickets,Delhi
2010-03-31,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,5 wickets,Chennai
2010-04-03,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,23 runs,Chennai
2010-04-06,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,24 runs,Chennai
2010-04-13,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,9 wickets,Chennai
2010-04-18,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,6 wickets,Dharamsala
2010-04-22,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,38 runs,Mumbai
2010-04-25,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,22 runs,Mumbai
2011-04-08,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,2 runs,Chennai
2011-04-16,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,21 runs,Chennai
2011-04-25,Chennai Super Kings,Pune Warriors,Chennai Super Kings,25 runs,Chennai
2011-04-27,Pune Warriors,Chennai Super Kings,Chennai Super Kings,8 wickets,Mumbai
2011-05-01,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,19 runs,Chennai
2011-05-04,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,8 wickets,Chennai
2011-05-09,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,63 runs,Jaipur
2011-05-12,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,18 runs,Chennai
2011-05-18,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,11 runs,Chennai
2011-05-24,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,6 wickets,Mumbai
2011-05-28,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,58 runs,Chennai
2012-04-07,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,74 runs,Visakhapatnam
2012-04-12,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,5 wickets,Chennai
2012-04-19,Chennai Super Kings,Pune Warriors,Chennai Super Kings,13 runs,Chennai
2012-04-21,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,7 wickets,Chennai
2012-05-04,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,10 runs,Chennai
2012-05-10,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,4 wickets,Jaipur
2012-05-12,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,9 wickets,Chennai
2012-05-14,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,5 wickets,Kolkata
2012-05-23,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,38 runs,Bangalore
2012-05-25,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,86 runs,Chennai
2013-04-10,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,10 wickets,Chandigarh
2013-04-13,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,4 wickets,Chennai
2013-04-18,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,86 runs,Delhi
2013-04-20,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,4 wickets,Kolkata
2013-04-22,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,5 wickets,Chennai
2013-04-25,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,5 wickets,Chennai
2013-04-28,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,14 runs,Chennai
2013-04-30,Chennai Super Kings,Pune Warriors,Chennai Super Kings,37 runs,Pune
2013-05-02,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,15 runs,Chennai
2013-05-08,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,77 runs,Hyderabad
2013-05-14,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,33 runs,Chennai
2013-05-21,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,48 runs,Delhi
2014-04-21,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,93 runs,Abu Dhabi
2014-04-23,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,7 runs,Dubai
2014-04-25,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,7 wickets,Dubai
2014-04-27,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,5 wickets,Sharjah
2014-05-02,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,34 runs,Ranchi
2014-05-05,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,0 runs,Delhi
2014-05-10,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,4 wickets,Mumbai
2014-05-13,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,5 wickets,Ranchi
2014-05-24,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,8 wickets,Bangalore
2014-05-28,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,7 wickets,Mumbai
2015-04-09,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,1 runs,Chennai
2015-04-11,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,45 runs,Chennai
2015-04-17,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,6 wickets,Mumbai
2015-04-22,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,27 runs,Bangalore
2015-04-25,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,97 runs,Chennai
2015-04-28,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,2 runs,Chennai
2015-05-04,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,24 runs,Chennai
2015-05-10,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,12 runs,Chennai
2015-05-16,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,7 wickets,Chandigarh
2015-05-22,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,3 wickets,Ranchi
2018-04-20,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,64 runs,Pune
2018-04-22,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,4 runs,Hyderabad
2018-04-25,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,5 wickets,Bengaluru
2018-04-30,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,13 runs,Pune
2018-05-05,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,6 wickets,Pune
2018-05-13,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,8 wickets,Pune
2018-05-20,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,5 wickets,Pune
2018-05-22,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,2 wickets,Mumbai
2018-05-23,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,7 wickets,Chennai
2018-05-26,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,6 wickets,Delhi
2018-05-27,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,8 wickets,Mumbai
2018-05-31,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,8 runs,Chennai
2018-07-04,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,1 wickets,Mumbai
2018-10-04,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,5 wickets,Chennai
2019-01-05,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,80 runs,Chennai
2019-04-14,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,5 wickets,Kolkata
2019-04-23,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,6 wickets,Chennai
2019-06-04,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,22 runs,Chennai
2019-09-04,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,7 wickets,Chennai
2019-10-05,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,6 wickets,Visakhapatnam
2019-11-04,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,4 wickets,Jaipur
2008-04-27,Mumbai Indians,Deccan Chargers,Deccan Chargers,10 wickets,Mumbai
2008-05-06,Chennai Super Kings,Deccan Chargers,Deccan Chargers,7 wickets,Chennai
2009-04-19,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,8 wickets,Cape Town
2009-04-22,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,24 runs,Cape Town
2009-04-25,Deccan Chargers,Mumbai Indians,Deccan Chargers,12 runs,Durban
2009-04-27,Chennai Super Kings,Deccan Chargers,Deccan Chargers,6 wickets,Durban
2009-05-06,Deccan Chargers,Mumbai Indians,Deccan Chargers,19 runs,Centurion
2009-05-11,Deccan Chargers,Rajasthan Royals,Deccan Chargers,53 runs,Kimberley
2009-05-16,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,6 wickets,Johannesburg
2009-05-22,Delhi Daredevils,Deccan Chargers,Deccan Chargers,6 wickets,Centurion
2009-05-24,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,6 runs,Johannesburg
2010-03-14,Deccan Chargers,Chennai Super Kings,Deccan Chargers,31 runs,Chennai
2010-03-19,Deccan Chargers,Kings XI Punjab,Deccan Chargers,6 runs,Cuttack
2010-03-21,Deccan Chargers,Delhi Daredevils,Deccan Chargers,10 runs,Cuttack
2010-04-08,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,7 wickets,Bangalore
2010-04-10,Chennai Super Kings,Deccan Chargers,Deccan Chargers,6 wickets,Nagpur
2010-04-12,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,13 runs,Nagpur
2010-04-16,Kings XI Punjab,Deccan Chargers,Deccan Chargers,5 wickets,Dharamsala
2010-04-18,Deccan Chargers,Delhi Daredevils,Deccan Chargers,11 runs,Delhi
2011-04-14,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,33 runs,Hyderabad
2011-04-19,Deccan Chargers,Delhi Daredevils,Deccan Chargers,16 runs,Delhi
2011-04-27,Deccan Chargers,Kochi Tuskers Kerala,Deccan Chargers,55 runs,Kochi
2011-05-14,Deccan Chargers,Mumbai Indians,Deccan Chargers,10 runs,Mumbai
2011-05-16,Pune Warriors,Deccan Chargers,Deccan Chargers,6 wickets,Mumbai
2011-05-21,Deccan Chargers,Kings XI Punjab,Deccan Chargers,82 runs,Dharamsala
2012-04-26,Deccan Chargers,Pune Warriors,Deccan Chargers,18 runs,Pune
2012-05-01,Deccan Chargers,Pune Warriors,Deccan Chargers,13 runs,Cuttack
2012-05-18,Rajasthan Royals,Deccan Chargers,Deccan Chargers,5 wickets,Hyderabad
2012-05-20,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,9 runs,Hyderabad
2018-05-24,Delhi Capitals,Mumbai Indians,Delhi Capitals,37 runs,Mumbai
2018-05-30,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,0 runs,Delhi
2019-04-05,Rajasthan Royals,Delhi Capitals,Delhi Capitals,5 wickets,Delhi
2019-04-14,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,39 runs,Hyderabad
2019-04-20,Kings XI Punjab,Delhi Capitals,Delhi Capitals,5 wickets,Delhi
2019-04-22,Rajasthan Royals,Delhi Capitals,Delhi Capitals,6 wickets,Jaipur
2019-04-28,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,16 runs,Delhi
2019-07-04,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,4 wickets,Bengaluru
2019-08-05,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,2 wickets,Visakhapatnam
2019-12-04,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,7 wickets,Kolkata
2008-04-19,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,9 wickets,Delhi
2008-04-22,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,9 wickets,Hyderabad
2008-04-30,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,10 runs,Delhi
2008-05-02,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,8 wickets,Chennai
2008-05-15,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,12 runs,Delhi
2008-05-19,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,5 wickets,Bangalore
2008-05-24,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,5 wickets,Delhi
2009-04-19,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,10 wickets,Cape Town
2009-04-23,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,9 runs,Durban
2009-04-26,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,6 wickets,Port Elizabeth
2009-04-30,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,6 wickets,Centurion
2009-05-05,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,9 wickets,Durban
2009-05-08,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,7 wickets,East London
2009-05-10,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,7 wickets,Johannesburg
2009-05-13,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,12 runs,Durban
2009-05-17,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,14 runs,Bloemfontein
2009-05-21,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,4 wickets,Centurion
2010-03-13,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,5 wickets,Chandigarh
2010-03-15,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,6 wickets,Ahmedabad
2010-03-25,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,17 runs,Bangalore
2010-03-29,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,40 runs,Delhi
2010-03-31,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,67 runs,Delhi
2010-04-04,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,37 runs,Delhi
2010-04-15,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,6 wickets,Chennai
2011-04-17,Pune Warriors,Delhi Daredevils,Delhi Daredevils,3 wickets,Mumbai
2011-04-23,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,29 runs,Delhi
2011-04-30,Delhi Daredevils,Kochi Tuskers Kerala,Delhi Daredevils,38 runs,Kochi
2011-05-05,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,4 wickets,Hyderabad
2012-04-05,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,8 wickets,Kolkata
2012-04-10,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,8 wickets,Delhi
2012-04-16,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,7 wickets,Mumbai
2012-04-19,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,5 wickets,Delhi
2012-04-24,Pune Warriors,Delhi Daredevils,Delhi Daredevils,8 wickets,Pune
2012-04-27,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,37 runs,Delhi
2012-04-29,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,1 runs,Delhi
2012-05-01,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,6 wickets,Jaipur
2012-05-10,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,9 wickets,Hyderabad
2012-05-15,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,5 wickets,Delhi
2012-05-19,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,6 wickets,Dharamsala
2013-04-21,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,9 wickets,Delhi
2013-04-28,Delhi Daredevils,Pune Warriors,Delhi Daredevils,15 runs,Raipur
2013-05-01,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,7 wickets,Raipur
2014-04-19,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,4 wickets,Dubai
2014-04-27,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,6 wickets,Sharjah
2015-04-15,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,5 wickets,Pune
2015-04-18,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,4 runs,Visakhapatnam
2015-04-23,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,37 runs,Delhi
2015-05-01,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,9 wickets,Delhi
2015-05-12,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,6 wickets,Raipur
2016-04-15,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,8 wickets,Delhi
2016-04-17,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,7 wickets,Bangalore
2016-04-23,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,10 runs,Delhi
2016-04-30,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,27 runs,Delhi
2016-05-03,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,8 wickets,Rajkot
2016-05-12,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,7 wickets,Hyderabad
2016-05-20,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,6 wickets,Raipur
2017-04-11,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,97 runs,Pune
2017-04-15,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,51 runs,Delhi
2017-05-02,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,6 wickets,Delhi
2017-05-04,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,7 wickets,Delhi
2017-05-10,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,2 wickets,Kanpur
2017-05-12,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,7 runs,Delhi
2018-02-05,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,4 runs,Delhi
2018-04-14,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,7 wickets,Mumbai
2018-04-27,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,55 runs,Delhi
2018-05-18,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,34 runs,Delhi
2018-05-20,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,11 runs,Delhi
2016-04-11,Kings XI Punjab,Gujarat Lions,Gujarat Lions,5 wickets,Chandigarh
2016-04-14,Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,7 wickets,Rajkot
2016-04-16,Mumbai Indians,Gujarat Lions,Gujarat Lions,3 wickets,Mumbai
2016-04-24,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,6 wickets,Rajkot
2016-04-27,Gujarat Lions,Delhi Daredevils,Gujarat Lions,1 runs,Delhi
2016-04-29,Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,3 wickets,Pune
2016-05-08,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,5 wickets,Kolkata
2016-05-19,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,6 wickets,Kanpur
2016-05-21,Mumbai Indians,Gujarat Lions,Gujarat Lions,6 wickets,Kanpur
2017-04-14,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,7 wickets,Rajkot
2017-04-21,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,4 wickets,Kolkata
2017-04-27,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,7 wickets,Bangalore
2017-05-07,Kings XI Punjab,Gujarat Lions,Gujarat Lions,6 wickets,Chandigarh
2008-04-25,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,66 runs,Chandigarh
2008-04-27,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,4 wickets,Chandigarh
2008-05-01,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,7 wickets,Hyderabad
2008-05-03,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,9 runs,Chandigarh
2008-05-05,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,6 wickets,Bangalore
2008-05-12,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,9 wickets,Chandigarh
2008-05-17,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,6 runs,Delhi
2008-05-21,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,1 runs,Mumbai
2008-05-23,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,6 wickets,Chandigarh
2008-05-28,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,41 runs,Chandigarh
2009-04-24,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,7 wickets,Durban
2009-04-26,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,27 runs,Cape Town
2009-04-29,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,3 runs,Durban
2009-05-03,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,6 wickets,Port Elizabeth
2009-05-09,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,3 wickets,Kimberley
2009-05-15,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,6 wickets,Bloemfontein
2009-05-17,Kings XI Punjab,Deccan Chargers,Kings XI Punjab,1 runs,Johannesburg
2010-03-21,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,0 runs,Chennai
2010-04-04,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,8 wickets,Kolkata
2010-04-09,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,6 wickets,Chandigarh
2010-04-11,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,7 wickets,Delhi
2011-04-13,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,6 wickets,Chandigarh
2011-04-16,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,8 wickets,Hyderabad
2011-04-21,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,48 runs,Chandigarh
2011-05-10,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,76 runs,Chandigarh
2011-05-13,Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,6 wickets,Indore
2011-05-15,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,29 runs,Dharamsala
2011-05-17,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,111 runs,Dharamsala
2012-04-12,Pune Warriors,Kings XI Punjab,Kings XI Punjab,7 wickets,Chandigarh
2012-04-15,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,2 runs,Kolkata
2012-04-22,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,6 wickets,Mumbai
2012-04-28,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,7 runs,Chennai
2012-05-02,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,4 wickets,Bangalore
2012-05-08,Kings XI Punjab,Deccan Chargers,Kings XI Punjab,25 runs,Hyderabad
2012-05-13,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,4 wickets,Chandigarh
2012-05-17,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,6 wickets,Dharamsala
2013-04-07,Pune Warriors,Kings XI Punjab,Kings XI Punjab,8 wickets,Pune
2013-04-16,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,4 runs,Chandigarh
2013-04-21,Pune Warriors,Kings XI Punjab,Kings XI Punjab,7 wickets,Chandigarh
2013-04-23,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,5 wickets,Delhi
